product_id,product_name,product_brand,product_category,model_year,product_specifications,product_price(£),product_image,,,,,,,,,,,,,,,,,,,,,
RAM Size	8 GB
Memory Technology	DDR3 SDRAM
Computer Memory Type	DDR3 SDRAM
Hard Drive Size	2 TB
Hard Drive Interface	Serial ATA
Hardware Platform	PC
Operating System	Windows 10 Pro\",£175.00,Dell OptiPlex 990.jpg,,,,,,,,,,,,,,,,,,,,,
,"Dell Inspiron 3000 Small Form Factor Desktop (Black) Intel Pentium J5005, 8 GB RAM, 1 TB HDD, Window 10 Home",dell,Desktop,Jan 2018,"Brand name	Dell
Item Weight	5.2 Kg
Product Dimensions	29.2 x 9.3 x 29 cm
Item model number	MV570
Series	Inspiron 3472
Color	Black
Form Factor	Desktop PC
Screen Resolution	N/A
Maximum Display Resolution	N/A
Processor Brand	Intel
Processor Type	Pentium
Processor Speed	1.5 GHz
Processor Count	4
RAM Size	8 GB
Computer Memory Type	DDR4 SDRAM
Hard Drive Size	1024 GB
Hard Disk Technology	HDD
Graphics Card Description	Intel UHD Graphics 600 series
Connectivity Type	801_11_AC
Wireless Type	801.11 AC
Number of USB 2.0 Ports	4
Number of USB 3.0 Ports	4
Number of HDMI Ports	1
Wattage	65 watts
Optical Drive Type	DVDRW Optical drive
Operating System	Windows 10 Home",£329.99,Dell Inspiron 3000.jpg,,,,,,,,,,,,,,,,,,,,,
,"Dell XPS 8930 Gaming Desktop PC (Black) - (Intel Core i5-8400, 8 GB RAM, 16G Optane + 1 TB HDD, NVidia GTX 1050Ti 4GB, Windows 10)",Dell,Desktop,Jul 2018,"Brand name	Dell
Item Weight	11.8 Kg
Product Dimensions	21.6 x 43.7 x 45.8 cm
Item model number	9TNR8
Color	Black
Form Factor	NA
Screen Resolution	No Display/Screen
Maximum Display Resolution	No Display/Screen
Processor Brand	Intel
Processor Type	Core i5
Processor Speed	4 GHz
Processor Count	6
RAM Size	8 GB
Memory Technology	DDR4 SDRAM
Computer Memory Type	DDR4 SDRAM
Hard Drive Size	1024 GB
Hard Disk Technology	Hybrid (HDD/SDD)
Graphics Coprocessor	Nvidia GeForce GTX 1050 Ti
Graphics Card Description	NVIDIA(R) GeForce(R) GTX 1050Ti with 4GB GDDR5 Graphics Memory
Graphics RAM Type	GDDR5
Graphics Card Ram Size	4000","£1,379.00",Dell XPS 8930.jpg,,,,,,,,,,,,,,,,,,,,,
,"Complete set of 21.5"" Monitor and Dell 780 Dual Core 4GB 1000GB WiFi Windows 10 64-Bit Desktop PC Computer ",Dell,Desktop,2016,"Brand name	Dell
Manufacturer reference	24806-24806-24806-24806
Form Factor	Small Form Factor
Processor Brand	Intel
Processor Type	Core 2 Duo
Processor Speed	2.60 GHz
Processor Count	1
RAM Size	4 GB
Computer Memory Type	DDR3 SDRAM
Hard Drive Size	1 TB
Hard Drive Interface	Serial ATA
Hardware Platform	PC
Operating System	Windows 10 Home",£169.90,Dell 780 21.5  (Complete ).jpg,,,,,,,,,,,,,,,,,,,,,
,"Lenovo IdeaCentre 520 21.5"" Full HD All-in-One Desktop PC, AMD A6-9220 2.5GHz Processor, 8GB RAM, 1TB HDD, AMD Radeon R4 Graphics, DVD±RW, Webcam, Windows 10 Home (F0D6001LUK) - Black",Lenovo,Desktop,2018,"Technical Details
Brand name	Lenovo
Item Weight	6 Kg
Package Dimensions	90 x 90 x 30 cm
Item model number	IdeaCentre 520
Color	black
Form Factor	All-in-One
